"Site","JanQ","FebQ","MarQ","AprQ","MayQ","JunQ","JulQ","AugQ","SeptQ","OctQ","NovQ","DecQ"
"sm1","1.500","1.730","1.730","2.140","1.505","0.755","0.370","0.220","0.180","0.240","0.630","1.015"
"sm2","1.335","1.320","1.230","1.025","0.920","1.035","0.985","0.745","0.550","0.470","0.730","1.135"
"sm3","2.220","2.240","1.895","1.740","1.555","1.500","1.050","0.820","0.730","0.515","0.720","1.115"
"sm4","0.770","1.150","1.170","1.230","1.540","0.985","0.755","0.810","0.685","0.415","0.520","0.640"
"sm5","1.540","1.500","2.170","2.075","2.180","1.700","1.345","1.425","1.375","1.240","1.290","1.280"
"sm7","2.300","3.120","3.270","2.815","2.835","2.085","1.900","2.125","1.405","1.215","1.270","2.010"
"sm8","1.425","2.070","2.165","2.780","2.390","1.670","1.255","1.530","1.105","0.605","1.015","1.185"
"sm9","2.600","2.790","2.435","2.320","3.210","2.500","2.380","1.955","2.320","1.065","1.320","2.175"
"sm10","1.350","1.780","1.540","1.240","1.260","0.775","0.640","0.790","0.525","0.520","1.075","1.155"
"sm11","3.620","5.020","2.990","3.230","4.175","2.325","1.780","3.145","2.015","0.925","2.085","2.740"
"sm12","4.205","8.600","8.105","7.510","6.445","4.345","2.600","2.655","1.850","2.270","2.060","3.820"
"sm13","13.650","11.500"," 6.630"," 6.930"," 1.405"," 0.650"," 0.240"," 0.150"," 0.235"," 0.605"," 2.250"," 7.090"
"sm14","25.95","28.20","24.20","33.40","31.25","27.10","22.25","19.00","16.35","16.25","21.35","24.25"
"sm15","6.360","7.340","7.540","6.185","5.105","4.790","4.385","3.570","3.045","2.505","2.540","3.280"
"sm17","42.150","29.500","31.400","44.000","21.350","10.750"," 4.470"," 2.665"," 2.450","18.150","24.200","32.050"
"sm18","6.390","5.790","6.630","9.605","8.565","6.475","5.510","5.585","6.145","6.980","6.910","7.045"
"sm19","43.80","26.90","25.70","68.85","77.05","38.65","11.45"," 4.46"," 6.12","29.90","40.20","28.40"
"sm20","3.630","5.080","4.345","5.760","5.575","4.395","2.960","4.320","2.860","1.945","2.400","3.075"
"sm21"," 9.650","11.600"," 9.620"," 8.105"," 5.375"," 5.480"," 3.955"," 3.915"," 2.485"," 2.470"," 3.615"," 5.635"
"sm22","1.195","1.450","3.045","5.740","5.475","2.850","1.800","1.065","1.035","1.315","1.360","1.090"
"sm23","16.650","14.200","12.750","11.250"," 7.290"," 8.225"," 5.385"," 5.030"," 2.785"," 2.460"," 4.955"," 7.860"
"sm24","79.75","57.50","59.70","80.95","46.50","27.40","14.75","11.65","11.30","34.50","51.65","64.60"
"sm25","12.650","11.300"," 9.705"," 8.730"," 6.980"," 8.050"," 6.330"," 5.450"," 3.655"," 2.730"," 4.635"," 8.110"
"sm26","30.800","25.000","32.700","24.850"," 6.190"," 2.325"," 0.745"," 0.170"," 0.175"," 0.450"," 6.185","16.100"
"sm27","14.550","16.500","16.150","13.250","10.200","11.200"," 9.260"," 7.905"," 6.825"," 6.155"," 7.885"," 8.600"
"sm28","1.930","1.930","2.890","3.270","4.495","2.750","2.485","5.260","1.960","1.685","0.885","1.510"
"sm29","15.200","14.800","14.500","15.450","16.800","10.850","10.650"," 9.315"," 8.685"," 8.355","12.450","10.450"
"sm30","31.400","24.700","25.900","18.500"," 3.470"," 0.535"," 0.200"," 0.000"," 0.000"," 2.930","23.100","21.550"
