Site,JanQ,FebQ,MarQ,AprQ,MayQ,JunQ,JulQ,AugQ,SeptQ,OctQ,NovQ,DecQ
sm1,1.5,1.73,1.73,2.14,1.505,0.755,0.37,0.22,0.18,0.24,0.63,1.015
sm2,1.335,1.32,1.23,1.025,0.92,1.035,0.985,0.745,0.55,0.47,0.73,1.135
sm3,2.22,2.26,1.895,1.74,1.555,1.5,1.05,0.82,0.73,0.515,0.72,1.115
sm4,0.77,1.15,1.17,1.23,1.54,0.985,0.755,0.81,0.685,0.415,0.52,0.64
sm5,1.54,1.5,2.17,2.075,2.18,1.7,1.345,1.425,1.375,1.24,1.29,1.28
sm7,2.3,3.12,3.27,2.815,2.835,2.085,1.9,2.125,1.405,1.215,1.27,2.01
sm8,1.425,2.07,2.165,2.78,2.39,1.67,1.255,1.53,1.105,0.605,1.015,1.185
sm9,2.6,2.79,2.435,2.32,3.21,2.5,2.38,1.955,2.32,1.065,1.32,2.175
sm10,1.35,1.78,1.54,1.24,1.26,0.775,0.64,0.79,0.525,0.52,1.075,1.155
sm11,3.62,5.02,2.99,3.23,4.175,2.325,1.78,3.145,2.015,0.925,2.085,2.74
sm12,4.205,8.6,8.105,7.51,6.445,4.345,2.6,2.655,1.85,2.27,2.06,3.82
sm13,13.65,11.5,6.63,6.93,1.405,0.65,0.24,0.15,0.235,0.605,2.25,7.09
sm14,25.95,28.2,24.2,33.4,31.25,27.1,22.25,19,16.35,16.25,21.35,24.25
sm15,6.36,7.34,7.54,6.185,5.105,4.79,4.385,3.57,3.045,2.505,2.54,3.28
sm17,42.15,29.5,31.4,44,21.35,10.75,4.47,2.665,2.45,18.15,24.2,32.05
sm18,6.39,5.79,6.63,9.605,8.565,6.475,5.51,5.585,6.145,6.98,6.91,7.045
sm19,43.8,26.9,25.7,68.85,77.05,38.65,11.45,4.46,6.12,29.9,40.2,28.4
sm20,3.63,5.08,4.345,5.76,5.575,4.395,2.96,4.32,2.86,1.945,2.4,3.075
sm21,9.65,11.6,9.62,8.105,5.375,5.48,3.955,3.915,2.485,2.47,3.615,5.635
sm22,1.195,1.45,3.045,5.74,5.475,2.85,1.8,1.065,1.035,1.315,1.36,1.09
sm23,16.65,14.2,12.75,11.25,7.29,8.225,5.385,5.03,2.785,2.46,4.955,7.86
sm24,79.75,57.5,59.7,80.95,46.5,27.4,14.75,11.65,11.3,34.5,51.65,64.6
sm25,12.65,11.3,9.705,8.73,6.98,8.05,6.33,5.45,3.655,2.73,4.635,8.11
sm26,30.8,25,32.7,24.85,6.19,2.325,0.745,0.17,0.175,0.45,6.185,16.1
sm27,14.55,16.5,16.15,13.25,10.2,11.2,9.26,7.905,6.825,6.155,7.885,8.6
sm28,1.93,1.93,2.89,3.27,4.495,2.75,2.485,5.26,1.96,1.685,0.885,1.51
sm29,15.2,14.8,14.5,15.45,16.8,10.85,10.65,9.315,8.685,8.355,12.45,10.45
sm30,31.4,24.7,25.9,18.5,3.47,0.535,0.2,0,0,2.93,23.1,21.55
