Site,DRAIN_SQKM,PPTAVG_SITE,RH_SITE,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,JAN_PPT7100_CM,FEB_PPT7100_CM,MAR_PPT7100_CM,APR_PPT7100_CM,MAY_PPT7100_CM,JUN_PPT7100_CM,JUL_PPT7100_CM,AUG_PPT7100_CM,SEP_PPT7100_CM,OCT_PPT7100_CM,NOV_PPT7100_CM,DEC_PPT7100_CM,JAN_TMP7100_DEGC,FEB_TMP7100_DEGC,MAR_TMP7100_DEGC,APR_TMP7100_DEGC,MAY_TMP7100_DEGC,JUN_TMP7100_DEGC,JUL_TMP7100_DEGC,AUG_TMP7100_DEGC,SEP_TMP7100_DEGC,OCT_TMP7100_DEGC,NOV_TMP7100_DEGC,DEC_TMP7100_DEGC,BFI_AVE,STOR_NID_2009,FORESTNLCD06,PLANTNLCD06,WETLANDSNLCD06,MAINS100_FOREST,IMPNLCD06,AWCAVE,PERMAVE,WTDEPAVE,ROCKDEPAVE,ELEV_MEAN_M_BASIN,SLOPE_PCT,ASPECT_NORTHNESS,ASPECT_EASTNESS
sm1,2.0808,119.586,70,26,0.03266522,10.80661,8.619627,10.43839,10.36298,9.192135,9.362233,9.212788,9.628993,9.861193,10.59405,11.21789,10.2476,-3.117,-2.21032,2.472885,8.23176,14.15706,19.13208,22.09627,21.23361,16.87015,10.95882,5.456012,-0.644879,57.64014,0,38.754325,4.368512,2.854671,37.025312,8.497837,0.1301823,3.481051,4.093611,40.65042,59.38149,4.029126,0.523242435,0.852183874
sm2,3.7026,138.376,67,3,0.066503415,14.34152,12.56671,14.95419,10.7893,10.94338,10.34269,12.0258,10.99523,11.06464,9.135517,10.2511,10.96735,4.967436,6.669412,10.84766,15.36559,19.73148,23.66125,25.38327,24.91753,21.82374,15.97891,10.65727,6.245331,49,0,6.028196,0,0.3889159,22.202487,55.4859,0.137,1.593,3.94,34.55,310.2333,2.935135,-0.587644043,-0.80911957
sm3,4.3182,136.337,68,3,0.073510033,14.3129,12.32893,14.88724,10.44282,11.02648,10.09976,11.14277,10.68126,10.38305,9.609825,10.48848,11.05289,5.345427,6.985492,10.98844,15.61436,19.96907,23.81077,25.54844,25.05446,21.92467,16.10573,10.79149,6.487916,56.99312,0,30.220924,14.79783,1.125469,42.471046,13.12901,0.1360383,1.661671,5.835123,58.76182,300.7136,3.730859,0.323793408,0.946127808
sm4,5.3622,110.551,69,10.49832,0.055135299,8.575826,7.244941,9.809133,8.475905,11.08711,9.39877,10.29692,9.773137,10.83051,8.710003,8.612303,8.307331,0.8850218,2.124183,6.688625,12.38914,17.65861,22.30396,24.75523,23.8412,20.17174,13.85471,8.06116,2.668072,36.07855,0,24.857338,2.030883,0.8224236,56.576194,18.36036,0.1323345,2.28017,5.471895,57.94201,83.79456,2.721495,0.89803034,0.439933527
sm5,5.376711,118.542,68,15,0.033016295,10.5717,7.955671,10.64264,9.491506,10.64534,9.066949,11.03608,12.47447,9.564083,8.379967,9.095857,9.521968,0.0525067,0.8029337,5.315996,10.78426,16.47911,21.32846,23.78174,22.94842,19.3464,13.19479,7.612805,2.064387,73.61704,0,75.000005,0,16.33713,50.19685,0.5968499,0.08327462,11.86235,3.582726,60,43.6718,0.6312849,0.311470964,-0.95025567
sm7,6.4908,123.382,66,13,0.062294735,9.338961,7.50807,10.76899,9.509166,12.59483,10.49882,11.76728,11.17816,11.07452,9.207996,9.800273,9.459635,0.281216,1.523386,6.224656,11.84029,17.24958,21.865,24.40946,23.44132,19.82868,13.60896,7.832231,2.19944,51.12354,0,15.793119,3.9794785,0,31.332874,25.74293,0.13667,1.299018,4.488122,59.61209,102.5624,2.798461,-0.938733858,-0.344642923
sm8,7.002,111.69,69,11.9937,0.059840127,8.491624,7.173942,9.781579,8.452203,11.24594,9.604127,10.24475,9.856039,10.76683,8.822878,8.761598,8.073384,0.5803535,1.947441,6.550353,12.09636,17.27737,21.97458,24.33361,23.44982,19.77562,13.47138,7.785761,2.396474,26.54473,10.5655527,55.115684,1.4267354,3.380463,62.9718884,4.780849,0.1469864,2.043988,5.330146,58.67116,119.0288,3.427338,0.96082754,0.277146961
sm9,8.559,109.953,71,11,0.051791135,8.774711,7.164541,9.752719,8.224148,10.98347,9.117108,10.43536,9.808548,10.32765,8.730537,8.395243,8.379847,1.151936,2.421012,6.947703,12.51477,17.74139,22.46872,24.93823,24.03797,20.33679,13.9695,8.369415,2.988598,38.12482,0,13.901161,0.03154574,0.3049422,21.292552,31.47865,0.1411505,3.270157,4.363535,56.66718,44.17077,3.915294,0.684801522,-0.728729631
sm10,9.144,118.677,67,11,0.038761457,9.354003,7.965586,10.88116,8.766828,12.26402,9.281264,10.63888,11.08962,11.04645,9.460491,9.53694,9.560127,0.8892874,1.858734,6.482836,12.05773,17.6377,22.33892,25.04361,24.00426,20.42563,14.13678,8.246404,2.756273,37.9937,0,2.1850395,0,0,5.956113,32.44124,0.1400622,1.794417,3.958981,58.08466,69.97283,2.9967,-0.821447921,0.570283537
sm11,10.8702,109.111,68,11.7459,0.058661176,8.34231,7.101233,9.611678,8.407231,11.112,9.646837,9.892059,9.751447,10.41904,8.740491,8.728795,7.97897,0.4761235,1.875628,6.480536,12.10544,17.25736,21.97016,24.34319,23.47921,19.78314,13.43034,7.752768,2.35747,27,0,12.7421791,1.7304194,0.5381685,31.132784,23.91596,0.1304122,2.801919,4.85084,38.05652,111.4236,2.075938,-0.471319773,-0.881962398
