"","MDA"
"DRAIN_SQKM",0.0183211465737006
"PPTAVG_SITE",0.0666041900340778
"RH_SITE",0.0246756124753693
"SNOW_PCT_PRECIP",0.341965986759124
"PRECIP_SEAS_IND",0.0125653624874427
"APR_PPT7100_CM",0.100501050982
"APR_TMP7100_DEGC",2.64835224380545
"BFI_AVE",0.0101829429218659
"STOR_NID_2009",0.0415202122825062
"FORESTNLCD06",0.0226075030631576
"PLANTNLCD06",0.0587767380670054
"WETLANDSNLCD06",0.0245193830759223
"MAINS100_FOREST",0.0466815750999682
"IMPNLCD06",0.046164877287437
"AWCAVE",0.0049490158453534
"PERMAVE",0.00519163005676524
"WTDEPAVE",0.00396102331443924
"ROCKDEPAVE",0.00538696573934486
"ELEV_MEAN_M_BASIN",0.0123458962222237
"SLOPE_PCT",0.0787460623680446
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.00534368955227487
"Q_val",0.00163408695597016
