"","MDA"
"DRAIN_SQKM",0.116365485902504
"PPTAVG_SITE",0.0114905480328823
"RH_SITE",0.0300178557676868
"SNOW_PCT_PRECIP",0.215025632299492
"PRECIP_SEAS_IND",0.00831623408549746
"AUG_PPT7100_CM",0.00690472420637125
"AUG_TMP7100_DEGC",0.753812733327098
"BFI_AVE",0.201529178079553
"STOR_NID_2009",0.0856649818629116
"FORESTNLCD06",0.0103655532191127
"PLANTNLCD06",0.0273569893621396
"WETLANDSNLCD06",0.0127382781272283
"MAINS100_FOREST",0.0487072405956106
"IMPNLCD06",0.00381369421354901
"AWCAVE",0.000258219689786935
"PERMAVE",0.00379849116305696
"WTDEPAVE",0.00845416888040778
"ROCKDEPAVE",0.00490746619266181
"ELEV_MEAN_M_BASIN",0.0119549126282266
"SLOPE_PCT",0.0751739454791525
"ASPECT_NORTHNESS",0.00403289302350979
"ASPECT_EASTNESS",0.0099660519070953
"Q_val",0.00297955234308355
