"","MDA"
"DRAIN_SQKM",0.0017811183044652
"PPTAVG_SITE",0.0220530459203124
"RH_SITE",0.0142690584831901
"SNOW_PCT_PRECIP",0.37243987510949
"PRECIP_SEAS_IND",0.0485406960263133
"DEC_PPT7100_CM",0.0281860778642754
"DEC_TMP7100_DEGC",3.02881512336773
"BFI_AVE",0.00821917204103082
"STOR_NID_2009",0.00729004552324306
"FORESTNLCD06",0.00471208960712844
"PLANTNLCD06",0.00260526789984216
"WETLANDSNLCD06",0.0469623805156197
"MAINS100_FOREST",0.0193715900271159
"IMPNLCD06",0.0286105057033692
"AWCAVE",0.0115776440379347
"PERMAVE",0.00642913435985038
"WTDEPAVE",0.00735780426523782
"ROCKDEPAVE",0.0210124500606182
"ELEV_MEAN_M_BASIN",0.0224778346127667
"SLOPE_PCT",0.00572093126992797
"ASPECT_NORTHNESS",0.00137476810632371
"ASPECT_EASTNESS",0.000199858351792783
"Q_val",0.00147774948907345
