"","MDA"
"DRAIN_SQKM",0.00248631655704977
"PPTAVG_SITE",0.0329510979488652
"RH_SITE",0.0123854468825936
"SNOW_PCT_PRECIP",0.373747450449484
"PRECIP_SEAS_IND",0.0333274876625733
"JAN_PPT7100_CM",0.0164153342934606
"JAN_TMP7100_DEGC",2.20302470704638
"BFI_AVE",0.0176024370751898
"STOR_NID_2009",0.0109815740342337
"FORESTNLCD06",0.00193285397965814
"PLANTNLCD06",0.000151213115988279
"WETLANDSNLCD06",0.0768360105040444
"MAINS100_FOREST",0.00957233086042948
"IMPNLCD06",0.0397829104574534
"AWCAVE",0.0126747089554549
"PERMAVE",0.0120616143339928
"WTDEPAVE",0.0105347823456166
"ROCKDEPAVE",0.0105180548467284
"ELEV_MEAN_M_BASIN",0.0278675925509995
"SLOPE_PCT",0.0108923915627553
"ASPECT_NORTHNESS",0.00432769638330607
"ASPECT_EASTNESS",0.00436507169155841
"Q_val",0.00693096647650481
