"","MDA"
"DRAIN_SQKM",0.105114065818764
"PPTAVG_SITE",0.0163336662151094
"RH_SITE",0.0140279961237508
"SNOW_PCT_PRECIP",0.171963038841073
"PRECIP_SEAS_IND",0.0105099864035135
"JUL_PPT7100_CM",0.0149659562879544
"JUL_TMP7100_DEGC",0.935974353091817
"BFI_AVE",0.238271752262399
"STOR_NID_2009",0.176395047339865
"FORESTNLCD06",0.00457393136158192
"PLANTNLCD06",0.0878670558206895
"WETLANDSNLCD06",0.0219058195486047
"MAINS100_FOREST",0.0650820957480404
"IMPNLCD06",0.00762975172852479
"AWCAVE",0.00743436534057429
"PERMAVE",0
"WTDEPAVE",0.00971732053990585
"ROCKDEPAVE",0.00299318927136598
"ELEV_MEAN_M_BASIN",0.0183279619695401
"SLOPE_PCT",0.0764049707464468
"ASPECT_NORTHNESS",0.00067040619701589
"ASPECT_EASTNESS",0.031255908556952
"Q_val",0.0169020218560053
