"","MDA"
"DRAIN_SQKM",0.0911857965941253
"PPTAVG_SITE",0.00753949093735129
"RH_SITE",0.0196314835052369
"SNOW_PCT_PRECIP",0.235341194092559
"PRECIP_SEAS_IND",0.00776849182794032
"JUN_PPT7100_CM",0.00679381242305011
"JUN_TMP7100_DEGC",1.58228471905142
"BFI_AVE",0.166728570231297
"STOR_NID_2009",0.181063972584582
"FORESTNLCD06",0.0354006564490975
"PLANTNLCD06",0.0891966703253932
"WETLANDSNLCD06",0.0365347329630865
"MAINS100_FOREST",0.0341964566649032
"IMPNLCD06",0.0121537106705559
"AWCAVE",0.0127870485870691
"PERMAVE",0.00592455668664504
"WTDEPAVE",0.0108287891670213
"ROCKDEPAVE",0.00542894641147884
"ELEV_MEAN_M_BASIN",0.0256070697303882
"SLOPE_PCT",0.170835620528518
"ASPECT_NORTHNESS",0.00296352655854744
"ASPECT_EASTNESS",0.0119638369823
"Q_val",0.00717314982670293
