"","MDA"
"DRAIN_SQKM",0.013951334769684
"PPTAVG_SITE",0.108451964675505
"RH_SITE",0.0306359222417509
"SNOW_PCT_PRECIP",0.755746363668569
"PRECIP_SEAS_IND",0.02743102619147
"MAR_PPT7100_CM",0.0538191588002661
"MAR_TMP7100_DEGC",3.5841189161936
"BFI_AVE",0.0198654927606009
"STOR_NID_2009",0.0347118112943653
"FORESTNLCD06",0.0215333278232156
"PLANTNLCD06",0.0144703715414333
"WETLANDSNLCD06",0.0582282304411086
"MAINS100_FOREST",0.056874872776108
"IMPNLCD06",0.052544873425461
"AWCAVE",0.0219092976973542
"PERMAVE",0.0133504563879766
"WTDEPAVE",0.0177673909154247
"ROCKDEPAVE",0.0472552580533982
"ELEV_MEAN_M_BASIN",0.00798052157775914
"SLOPE_PCT",0.0407001364981754
"ASPECT_NORTHNESS",0.00380311574365051
"ASPECT_EASTNESS",0.00489130770554052
"Q_val",0.00272291595525748
