"","MDA"
"DRAIN_SQKM",0.0371088199891304
"PPTAVG_SITE",0.0071060127441804
"RH_SITE",0.0134787552777326
"SNOW_PCT_PRECIP",0.33622200247994
"PRECIP_SEAS_IND",0.0223998060467768
"MAY_PPT7100_CM",0.026470962230641
"MAY_TMP7100_DEGC",1.9109553207756
"BFI_AVE",0.0338782331406666
"STOR_NID_2009",0.11187639988551
"FORESTNLCD06",0.0222249655453331
"PLANTNLCD06",0.0839533671340774
"WETLANDSNLCD06",0.0205739539546408
"MAINS100_FOREST",0.0525473688342117
"IMPNLCD06",0.0242491942891381
"AWCAVE",0.00394126720648387
"PERMAVE",0.00813838718256783
"WTDEPAVE",0.0129350072556551
"ROCKDEPAVE",0.00801688974515827
"ELEV_MEAN_M_BASIN",0.0288599399325805
"SLOPE_PCT",0.250624586819428
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0.00677541288581458
