"","MDA"
"DRAIN_SQKM",0.0045778516138451
"PPTAVG_SITE",0.0100208659755569
"RH_SITE",0.00290549772209481
"SNOW_PCT_PRECIP",0.314839559727054
"PRECIP_SEAS_IND",0.0221725579429644
"NOV_PPT7100_CM",0.0217202841909852
"NOV_TMP7100_DEGC",2.27537269267367
"BFI_AVE",0.0378091264047748
"STOR_NID_2009",0.0162833060376446
"FORESTNLCD06",0.00225037074634194
"PLANTNLCD06",0.00338817371321986
"WETLANDSNLCD06",0.0360363237640405
"MAINS100_FOREST",0.0140925610673861
"IMPNLCD06",0.00646377661368779
"AWCAVE",0.00504886033138337
"PERMAVE",0.00499412938168624
"WTDEPAVE",0.00593949878206501
"ROCKDEPAVE",0.0529860723653302
"ELEV_MEAN_M_BASIN",0.0195617276966684
"SLOPE_PCT",0.021325243084038
"ASPECT_NORTHNESS",0.0038918224522485
"ASPECT_EASTNESS",0.00136209348138169
"Q_val",0
