"","MDA"
"DRAIN_SQKM",0.0261235683833964
"PPTAVG_SITE",0.0104586332677949
"RH_SITE",0.00251864659922026
"SNOW_PCT_PRECIP",0.586055732309809
"PRECIP_SEAS_IND",0.324139717009017
"OCT_PPT7100_CM",0.0320209188977583
"OCT_TMP7100_DEGC",1.14397408550956
"BFI_AVE",0.192251356654222
"STOR_NID_2009",0.0842022589959682
"FORESTNLCD06",0.00345438518405663
"PLANTNLCD06",0.0157890119231468
"WETLANDSNLCD06",0.0228532496458266
"MAINS100_FOREST",0.0510610014670255
"IMPNLCD06",0.00787043149895711
"AWCAVE",0.0178493696348543
"PERMAVE",0.0015005625841362
"WTDEPAVE",0.00291547357390639
"ROCKDEPAVE",0.0156259240832523
"ELEV_MEAN_M_BASIN",0.0086071513807288
"SLOPE_PCT",0.0594066062813071
"ASPECT_NORTHNESS",0.00128473519266279
"ASPECT_EASTNESS",0.0105335506630986
"Q_val",0.00832773358616622
