"","MDA"
"DRAIN_SQKM",0.0884258687206317
"PPTAVG_SITE",0.0119643215036702
"RH_SITE",0.0174070107700938
"SNOW_PCT_PRECIP",0.255444058537809
"PRECIP_SEAS_IND",0.0431658494206112
"SEP_PPT7100_CM",0.014062079775318
"SEP_TMP7100_DEGC",0.975002258216924
"BFI_AVE",0.172493316756905
"STOR_NID_2009",0.0718433147038819
"FORESTNLCD06",0.00803034599320076
"PLANTNLCD06",0.02328047955383
"WETLANDSNLCD06",0.0114650534876785
"MAINS100_FOREST",0.0633183469844617
"IMPNLCD06",0.00700538905789559
"AWCAVE",0.0211345511697072
"PERMAVE",0.00384493988827877
"WTDEPAVE",0.00587516984625062
"ROCKDEPAVE",0.00693381195271272
"ELEV_MEAN_M_BASIN",0.00414911089937601
"SLOPE_PCT",0.084832971487373
"ASPECT_NORTHNESS",0.00537405125022023
"ASPECT_EASTNESS",0.0120067873666167
"Q_val",0.00273600753607421
