"","MDA"
"DRAIN_SQKM",5.81205784248508e-06
"PPTAVG_SITE",1.44390976036905e-05
"RH_SITE",2.01234027500262e-06
"SNOW_PCT_PRECIP",0.000131596090042948
"PRECIP_SEAS_IND",3.53526719698403e-05
"APR_PPT7100_CM",3.85460435869313e-05
"APR_TMP7100_DEGC",6.32820786828255e-05
"BFI_AVE",3.32039341484892e-05
"STOR_NID_2009",0.00105620952735283
"FORESTNLCD06",2.57862897820526e-05
"PLANTNLCD06",7.79171015617386e-05
"WETLANDSNLCD06",5.50111329564168e-06
"MAINS100_FOREST",3.10651610436805e-06
"IMPNLCD06",9.19404520179569e-05
"AWCAVE",3.50180268964871e-05
"PERMAVE",4.59943087678177e-06
"WTDEPAVE",7.36859398269465e-05
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",5.61511032959795e-05
"SLOPE_PCT",0.00014229011708524
"ASPECT_NORTHNESS",1.29847011656062e-06
"ASPECT_EASTNESS",3.36678574382316e-06
"Q_val",4.2919073279601e-05
