"","MDA"
"DRAIN_SQKM",1.94657920217585e-05
"PPTAVG_SITE",4.8671107584683e-05
"RH_SITE",6.16232924272072e-05
"SNOW_PCT_PRECIP",3.07952531649277e-05
"PRECIP_SEAS_IND",6.13591692807403e-05
"AUG_PPT7100_CM",9.8502495520443e-05
"AUG_TMP7100_DEGC",8.25188051589623e-05
"BFI_AVE",7.3231177268784e-05
"STOR_NID_2009",0.0029637671698319
"FORESTNLCD06",0
"PLANTNLCD06",2.79385511158037e-05
"WETLANDSNLCD06",1.55484556463888e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000143515068029427
"AWCAVE",0
"PERMAVE",5.42083047001027e-06
"WTDEPAVE",5.473609262608e-05
"ROCKDEPAVE",2.01770452951594e-05
"ELEV_MEAN_M_BASIN",6.35829702201036e-05
"SLOPE_PCT",3.25093494787663e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",3.7709254427686e-05
"Q_val",4.39485981534819e-05
