"","MDA"
"DRAIN_SQKM",9.75024529454194e-06
"PPTAVG_SITE",3.49670016253942e-06
"RH_SITE",1.62856548028344e-05
"SNOW_PCT_PRECIP",0.000205154113663147
"PRECIP_SEAS_IND",5.12381177111099e-05
"DEC_PPT7100_CM",1.49684807228766e-05
"DEC_TMP7100_DEGC",0.00111962931685895
"BFI_AVE",2.90613319132387e-05
"STOR_NID_2009",0.000656931166423864
"FORESTNLCD06",4.49031079551029e-05
"PLANTNLCD06",4.09456251850243e-05
"WETLANDSNLCD06",1.10403171241668e-05
"MAINS100_FOREST",1.63531714885777e-07
"IMPNLCD06",0.000329963593071703
"AWCAVE",1.46798253546863e-05
"PERMAVE",8.53583379175116e-06
"WTDEPAVE",1.68019471878928e-05
"ROCKDEPAVE",7.63624345483318e-06
"ELEV_MEAN_M_BASIN",3.31915746966514e-06
"SLOPE_PCT",5.50373310450145e-06
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",6.39801913168709e-06
"Q_val",5.93183733215018e-05
