"","MDA"
"DRAIN_SQKM",4.9440626479157e-06
"PPTAVG_SITE",1.08688078430599e-05
"RH_SITE",6.31522522944147e-06
"SNOW_PCT_PRECIP",0.000261258809798427
"PRECIP_SEAS_IND",1.77392768965498e-05
"FEB_PPT7100_CM",1.42506419330235e-05
"FEB_TMP7100_DEGC",0.00148542931403937
"BFI_AVE",1.47412954129072e-05
"STOR_NID_2009",0.00103291353609074
"FORESTNLCD06",3.51054439348296e-05
"PLANTNLCD06",4.04712600336024e-05
"WETLANDSNLCD06",1.63000079731698e-05
"MAINS100_FOREST",2.26843504480841e-06
"IMPNLCD06",0.000201847233756896
"AWCAVE",1.55392336874397e-05
"PERMAVE",2.14073140890434e-05
"WTDEPAVE",8.34507493199497e-06
"ROCKDEPAVE",1.26689303344549e-05
"ELEV_MEAN_M_BASIN",1.33110526879592e-05
"SLOPE_PCT",4.03101672034733e-06
"ASPECT_NORTHNESS",5.88497228530979e-06
"ASPECT_EASTNESS",1.25133667331315e-05
"Q_val",8.96283435091545e-06
