"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",7.36008244967553e-06
"RH_SITE",1.43917924354072e-05
"SNOW_PCT_PRECIP",0.000339638438719552
"PRECIP_SEAS_IND",7.10485910109574e-06
"JAN_PPT7100_CM",1.89932689505323e-05
"JAN_TMP7100_DEGC",0.00135632944173658
"BFI_AVE",8.89241809960923e-06
"STOR_NID_2009",0.000518568583334857
"FORESTNLCD06",5.72641151725878e-05
"PLANTNLCD06",3.88298037560112e-05
"WETLANDSNLCD06",2.51336807631734e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000250814550992484
"AWCAVE",1.90322924965745e-05
"PERMAVE",2.83641222916008e-05
"WTDEPAVE",1.88258726435419e-05
"ROCKDEPAVE",9.00439478840904e-06
"ELEV_MEAN_M_BASIN",5.15623182266074e-06
"SLOPE_PCT",0
"ASPECT_NORTHNESS",4.45636329689134e-06
"ASPECT_EASTNESS",2.26432419392388e-05
"Q_val",4.30554332024414e-05
