"","MDA"
"DRAIN_SQKM",2.0616610985265e-05
"PPTAVG_SITE",2.10375687799901e-05
"RH_SITE",9.76668174779797e-05
"SNOW_PCT_PRECIP",7.37576659185057e-05
"PRECIP_SEAS_IND",0.000117491255299008
"JUL_PPT7100_CM",1.78472239593108e-05
"JUL_TMP7100_DEGC",5.29398247586993e-05
"BFI_AVE",9.32601662309142e-05
"STOR_NID_2009",0.00237847580960116
"FORESTNLCD06",2.61218661936791e-06
"PLANTNLCD06",3.36702103639852e-05
"WETLANDSNLCD06",6.14884823914056e-06
"MAINS100_FOREST",7.61671593259004e-06
"IMPNLCD06",0.000111372726449474
"AWCAVE",1.47833287215667e-05
"PERMAVE",2.96571844836621e-05
"WTDEPAVE",2.66033590927837e-05
"ROCKDEPAVE",8.27498396687334e-05
"ELEV_MEAN_M_BASIN",3.30920744474002e-05
"SLOPE_PCT",2.49291826445192e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",1.002825765925e-05
