"","MDA"
"DRAIN_SQKM",3.0515547617095e-05
"PPTAVG_SITE",4.92788853829199e-05
"RH_SITE",3.82055381936374e-05
"SNOW_PCT_PRECIP",0.00017709357254145
"PRECIP_SEAS_IND",5.53220155620916e-05
"JUN_PPT7100_CM",3.27413587808132e-05
"JUN_TMP7100_DEGC",0.000104828064220374
"BFI_AVE",7.28586846984791e-05
"STOR_NID_2009",0.00233946505459771
"FORESTNLCD06",1.14752210812193e-06
"PLANTNLCD06",0.000178992467078227
"WETLANDSNLCD06",3.26624097402257e-05
"MAINS100_FOREST",9.1517240724339e-06
"IMPNLCD06",5.04231029717744e-05
"AWCAVE",0
"PERMAVE",2.43354293858466e-05
"WTDEPAVE",4.67529199255077e-05
"ROCKDEPAVE",1.00331354058938e-05
"ELEV_MEAN_M_BASIN",3.2068349412171e-05
"SLOPE_PCT",2.61949331316681e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",2.01915469157569e-05
"Q_val",3.40867498060964e-05
