"","MDA"
"DRAIN_SQKM",1.05838916824017e-05
"PPTAVG_SITE",4.65380128246688e-05
"RH_SITE",9.89400233077627e-06
"SNOW_PCT_PRECIP",0.000142609265276238
"PRECIP_SEAS_IND",0.000109050482926236
"MAR_PPT7100_CM",1.73059533784961e-05
"MAR_TMP7100_DEGC",0.00121269810472394
"BFI_AVE",7.30169308797717e-06
"STOR_NID_2009",0.00129598676504889
"FORESTNLCD06",3.30879200880116e-05
"PLANTNLCD06",5.63866358234901e-05
"WETLANDSNLCD06",6.69950479388275e-05
"MAINS100_FOREST",8.51214471742806e-06
"IMPNLCD06",0.000163921044297625
"AWCAVE",1.42895753129979e-05
"PERMAVE",4.66236555826574e-07
"WTDEPAVE",9.69713177392986e-06
"ROCKDEPAVE",4.87642237027998e-06
"ELEV_MEAN_M_BASIN",1.06924826762309e-05
"SLOPE_PCT",1.9409838196068e-05
"ASPECT_NORTHNESS",1.10570966237135e-06
"ASPECT_EASTNESS",2.0270307568674e-05
"Q_val",4.00875740151092e-05
