"","MDA"
"DRAIN_SQKM",2.11667022754519e-06
"PPTAVG_SITE",9.20511007379572e-06
"RH_SITE",5.14899090040547e-05
"SNOW_PCT_PRECIP",0.000112573591932282
"PRECIP_SEAS_IND",1.97446428725853e-05
"MAY_PPT7100_CM",1.29256063112134e-05
"MAY_TMP7100_DEGC",0.000171578403317456
"BFI_AVE",4.27377740621815e-05
"STOR_NID_2009",0.00215797840815839
"FORESTNLCD06",2.87442156086777e-06
"PLANTNLCD06",9.3173428009521e-05
"WETLANDSNLCD06",2.60385403952244e-05
"MAINS100_FOREST",1.08211752970592e-06
"IMPNLCD06",3.85801188624382e-05
"AWCAVE",5.31943555526646e-05
"PERMAVE",2.34474743240698e-05
"WTDEPAVE",5.21455123037671e-05
"ROCKDEPAVE",8.89793263336276e-05
"ELEV_MEAN_M_BASIN",3.85246878322439e-05
"SLOPE_PCT",0.000253810495529872
"ASPECT_NORTHNESS",3.41744037469564e-06
"ASPECT_EASTNESS",0
"Q_val",1.95551529987932e-06
