"","MDA"
"DRAIN_SQKM",1.11306277111622e-05
"PPTAVG_SITE",2.5760606608392e-05
"RH_SITE",5.45589401849686e-05
"SNOW_PCT_PRECIP",0.000135878828706459
"PRECIP_SEAS_IND",0.000166848003388337
"NOV_PPT7100_CM",1.00111915213251e-05
"NOV_TMP7100_DEGC",0.000618433854830152
"BFI_AVE",9.52159393286193e-05
"STOR_NID_2009",0.00114687351898705
"FORESTNLCD06",1.21899206162232e-05
"PLANTNLCD06",5.62000962947191e-05
"WETLANDSNLCD06",2.22959362694767e-05
"MAINS100_FOREST",6.67372364252235e-06
"IMPNLCD06",0.000144052648051716
"AWCAVE",2.44280453192013e-05
"PERMAVE",4.42311317697343e-06
"WTDEPAVE",2.05673058510749e-05
"ROCKDEPAVE",4.81742167714794e-06
"ELEV_MEAN_M_BASIN",2.22587971366561e-05
"SLOPE_PCT",8.32905804249925e-06
"ASPECT_NORTHNESS",2.5219378948968e-07
"ASPECT_EASTNESS",3.45555907228629e-05
"Q_val",2.06814247706138e-05
