"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",1.8228393608631e-05
"RH_SITE",4.17336240015443e-05
"SNOW_PCT_PRECIP",0.000236643148280129
"PRECIP_SEAS_IND",0.000622692397655602
"OCT_PPT7100_CM",2.06465869882192e-05
"OCT_TMP7100_DEGC",2.81242591053338e-05
"BFI_AVE",5.65761434268034e-05
"STOR_NID_2009",0.0020438549302678
"FORESTNLCD06",8.44458900132254e-06
"PLANTNLCD06",7.37072386967622e-05
"WETLANDSNLCD06",2.02830688220406e-05
"MAINS100_FOREST",1.17149048487228e-05
"IMPNLCD06",0.00011485542344714
"AWCAVE",0
"PERMAVE",8.89575781219542e-06
"WTDEPAVE",0.000102051710532004
"ROCKDEPAVE",9.74529082946664e-06
"ELEV_MEAN_M_BASIN",7.41230781629489e-05
"SLOPE_PCT",6.83963330172234e-05
"ASPECT_NORTHNESS",2.17824956570922e-06
"ASPECT_EASTNESS",2.39796303183369e-05
"Q_val",4.33746232638651e-05
