"","MDA"
"DRAIN_SQKM",1.03187784703507e-05
"PPTAVG_SITE",7.54563848401492e-05
"RH_SITE",4.39083060993929e-05
"SNOW_PCT_PRECIP",6.7499066118305e-05
"PRECIP_SEAS_IND",0.000110072134841323
"SEP_PPT7100_CM",4.39874136084884e-05
"SEP_TMP7100_DEGC",0.000110644444049954
"BFI_AVE",6.22106569866867e-05
"STOR_NID_2009",0.00417325150512239
"FORESTNLCD06",1.99603167062779e-05
"PLANTNLCD06",8.93484583594508e-06
"WETLANDSNLCD06",4.58223726966699e-05
"MAINS100_FOREST",0
"IMPNLCD06",6.04646204794601e-05
"AWCAVE",0
"PERMAVE",2.66007710658833e-05
"WTDEPAVE",0.000105588445033842
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",5.75833688512166e-05
"SLOPE_PCT",2.12416564365008e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",3.88962369333774e-05
"Q_val",5.60689898836146e-05
