"","MDA"
"DRAIN_SQKM",0.00782726263972938
"PPTAVG_SITE",0.134224675940123
"RH_SITE",0.0798292045342958
"SNOW_PCT_PRECIP",1.35823819313277
"PRECIP_SEAS_IND",0.0515236911430461
"APR_PPT7100_CM",0.298609198997091
"APR_TMP7100_DEGC",4.73102536586544
"BFI_AVE",0.0592847023188639
"STOR_NID_2009",0.243585306236058
"FORESTNLCD06",0.165095927114706
"PLANTNLCD06",0.0591614222393769
"WETLANDSNLCD06",0.0391550386046151
"MAINS100_FOREST",0.0272223188774448
"IMPNLCD06",0.309800200286595
"AWCAVE",0.011757878855666
"PERMAVE",0
"WTDEPAVE",0.00571300411400595
"ROCKDEPAVE",0.0467695796099778
"ELEV_MEAN_M_BASIN",0.0272698131564301
"SLOPE_PCT",0.0276650157039688
"ASPECT_NORTHNESS",0.0156558128211168
"ASPECT_EASTNESS",0.017443801971359
"Q_val",0
