"","MDA"
"DRAIN_SQKM",0.0975015366969731
"PPTAVG_SITE",0.0328615545077448
"RH_SITE",0.0549590552754991
"SNOW_PCT_PRECIP",0.927210098527838
"PRECIP_SEAS_IND",0.00226168619101984
"AUG_PPT7100_CM",0.0266115046708671
"AUG_TMP7100_DEGC",2.27888024545939
"BFI_AVE",0.592326026929214
"STOR_NID_2009",1.01776980904959
"FORESTNLCD06",0.139248492705931
"PLANTNLCD06",0.116246505365306
"WETLANDSNLCD06",0.147728129388309
"MAINS100_FOREST",0.270587907031663
"IMPNLCD06",0.080262347806325
"AWCAVE",0.00493087423491429
"PERMAVE",0.0160721353960539
"WTDEPAVE",0.0548400907084674
"ROCKDEPAVE",0.000348491242672084
"ELEV_MEAN_M_BASIN",0.0642287836412032
"SLOPE_PCT",0.181381143023566
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.0177645754951071
"Q_val",0.00813205582713436
