"","MDA"
"DRAIN_SQKM",0.00623820912775416
"PPTAVG_SITE",0.042404905450553
"RH_SITE",0.0346289575829363
"SNOW_PCT_PRECIP",1.01644680843941
"PRECIP_SEAS_IND",0.0228255313644002
"DEC_PPT7100_CM",0.045574260713187
"DEC_TMP7100_DEGC",6.50933986871884
"BFI_AVE",0.00954293978802421
"STOR_NID_2009",0.0075962164999951
"FORESTNLCD06",0.0287302939008515
"PLANTNLCD06",0.00186074829955525
"WETLANDSNLCD06",0.103142434339524
"MAINS100_FOREST",0.0162605699541479
"IMPNLCD06",0.0673926124132254
"AWCAVE",0.0173008110704432
"PERMAVE",0.000280384630855175
"WTDEPAVE",0.0250208912818575
"ROCKDEPAVE",0.0686430475289725
"ELEV_MEAN_M_BASIN",0.0487190686943628
"SLOPE_PCT",0.0882134814156585
"ASPECT_NORTHNESS",0.0241549122891273
"ASPECT_EASTNESS",0.00350077110156087
"Q_val",0.00763446638007298
