"","MDA"
"DRAIN_SQKM",0.00999034149674945
"PPTAVG_SITE",0.0303075119010927
"RH_SITE",0.0103576899675935
"SNOW_PCT_PRECIP",1.72275847783179
"PRECIP_SEAS_IND",0.058259933734751
"FEB_PPT7100_CM",0.0236121491092155
"FEB_TMP7100_DEGC",6.67611819861049
"BFI_AVE",0.0192000687820307
"STOR_NID_2009",0.066803160261859
"FORESTNLCD06",0.0520402171085352
"PLANTNLCD06",0.0081554479791684
"WETLANDSNLCD06",0.0680288170981988
"MAINS100_FOREST",0.0236782490511602
"IMPNLCD06",0.13376207320073
"AWCAVE",0.0209273251818307
"PERMAVE",0.00958288534640397
"WTDEPAVE",0.0142871263383948
"ROCKDEPAVE",0.0815545815463706
"ELEV_MEAN_M_BASIN",0.0403228364205172
"SLOPE_PCT",0.074601919499282
"ASPECT_NORTHNESS",0.0272974609212948
"ASPECT_EASTNESS",0.0183645008153951
"Q_val",0.00305469858345934
