"","MDA"
"DRAIN_SQKM",0.00386482828840523
"PPTAVG_SITE",0.061576162246807
"RH_SITE",0.0170647160028884
"SNOW_PCT_PRECIP",0.844539087221302
"PRECIP_SEAS_IND",0.0407401477154545
"JAN_PPT7100_CM",0.0504137454436538
"JAN_TMP7100_DEGC",6.10201015782338
"BFI_AVE",0.0146811948704208
"STOR_NID_2009",0.0393176747927344
"FORESTNLCD06",0.0229981346858143
"PLANTNLCD06",0.00423810437716996
"WETLANDSNLCD06",0.0978813111785535
"MAINS100_FOREST",0.0151877129304224
"IMPNLCD06",0.0886444663516305
"AWCAVE",0.0112364099805744
"PERMAVE",0.00975626207903609
"WTDEPAVE",0.0276009233174454
"ROCKDEPAVE",0.0438869580386526
"ELEV_MEAN_M_BASIN",0.0730104941788034
"SLOPE_PCT",0.0461133644368405
"ASPECT_NORTHNESS",0.0766433548135843
"ASPECT_EASTNESS",0.00596584106965246
"Q_val",0.0054236122966365
