"","MDA"
"DRAIN_SQKM",0.150689726566655
"PPTAVG_SITE",0.0531551168773236
"RH_SITE",0.0547097729246155
"SNOW_PCT_PRECIP",0.751795898062287
"PRECIP_SEAS_IND",0.0186513444440047
"JUL_PPT7100_CM",0.0189448135958743
"JUL_TMP7100_DEGC",3.36490119835004
"BFI_AVE",0.602863870424135
"STOR_NID_2009",1.77269489168443
"FORESTNLCD06",0.135233905903125
"PLANTNLCD06",0.166597971235335
"WETLANDSNLCD06",0.223224731465407
"MAINS100_FOREST",0.233818033956769
"IMPNLCD06",0.0895024047385201
"AWCAVE",0
"PERMAVE",0.0366885827394433
"WTDEPAVE",0.0376413228675186
"ROCKDEPAVE",0.00186725654451964
"ELEV_MEAN_M_BASIN",0.0621728380920591
"SLOPE_PCT",0.199816780644819
"ASPECT_NORTHNESS",0.0104127992369698
"ASPECT_EASTNESS",0.00967215354525293
"Q_val",0
