"","MDA"
"DRAIN_SQKM",0.0929876289762629
"PPTAVG_SITE",0.0100880994371368
"RH_SITE",0.0169743740572873
"SNOW_PCT_PRECIP",0.706896327498136
"PRECIP_SEAS_IND",0.00499521796408714
"JUN_PPT7100_CM",0.0192959401256741
"JUN_TMP7100_DEGC",4.43942786239543
"BFI_AVE",0.501862924326704
"STOR_NID_2009",1.22953560440954
"FORESTNLCD06",0.189245403692715
"PLANTNLCD06",0.229579553879309
"WETLANDSNLCD06",0.128200529194279
"MAINS100_FOREST",0.155574844534401
"IMPNLCD06",0.0556176994385874
"AWCAVE",0
"PERMAVE",0.021304515335674
"WTDEPAVE",0.0153797420734565
"ROCKDEPAVE",0.0131025624502989
"ELEV_MEAN_M_BASIN",0.0960389345742186
"SLOPE_PCT",0.160214570986072
"ASPECT_NORTHNESS",0.00163803250099398
"ASPECT_EASTNESS",0.0102931990497985
"Q_val",0.00579999668932566
