"","MDA"
"DRAIN_SQKM",0.00069939675729536
"PPTAVG_SITE",0.0254421542028224
"RH_SITE",0.0117579874578516
"SNOW_PCT_PRECIP",0.737503691568002
"PRECIP_SEAS_IND",0.0461798694964441
"NOV_PPT7100_CM",0.0127473723398209
"NOV_TMP7100_DEGC",4.93710628131668
"BFI_AVE",0.124945780039416
"STOR_NID_2009",0.00420999709766541
"FORESTNLCD06",0.00394453027468527
"PLANTNLCD06",0.00246313091557278
"WETLANDSNLCD06",0.122022934299322
"MAINS100_FOREST",0.00411138501503537
"IMPNLCD06",0.0295008874111142
"AWCAVE",0.0164789119613648
"PERMAVE",0.0116296335054568
"WTDEPAVE",0.00696304523123114
"ROCKDEPAVE",0.217783848732323
"ELEV_MEAN_M_BASIN",0.0504528217231824
"SLOPE_PCT",0.0241347205267881
"ASPECT_NORTHNESS",0.0036024952530578
"ASPECT_EASTNESS",0.00409650959944265
"Q_val",0.000801865941087319
