"","MDA"
"DRAIN_SQKM",0.0189911071839528
"PPTAVG_SITE",0.0133625178666212
"RH_SITE",0.00696245736182319
"SNOW_PCT_PRECIP",1.85704101828675
"PRECIP_SEAS_IND",0.523715975109198
"OCT_PPT7100_CM",0.0260935108281865
"OCT_TMP7100_DEGC",2.28979058875535
"BFI_AVE",0.810547901826778
"STOR_NID_2009",0.0518182564984838
"FORESTNLCD06",0.00715322895862417
"PLANTNLCD06",0.0385105616235793
"WETLANDSNLCD06",0.043573324166004
"MAINS100_FOREST",0.0960225159052064
"IMPNLCD06",0.0428438911253444
"AWCAVE",0.00940348348770283
"PERMAVE",0.0140999806092911
"WTDEPAVE",0.0266197264622539
"ROCKDEPAVE",0.04831402446737
"ELEV_MEAN_M_BASIN",0.100821750179491
"SLOPE_PCT",0.193945273861893
"ASPECT_NORTHNESS",0.00728551710691587
"ASPECT_EASTNESS",0.0649065545190319
"Q_val",0.00618014365300431
