"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0.19864489698231
"RH_SITE",0.108403506381408
"SNOW_PCT_PRECIP",3.33347401934975
"PRECIP_SEAS_IND",0.0566933167684496
"DEC_PPT7100_CM",0.0247208188514126
"DEC_TMP7100_DEGC",8.14017416109803
"BFI_AVE",0.0589650524384149
"STOR_NID_2009",0.00511668230775746
"FORESTNLCD06",0.0280916044545377
"PLANTNLCD06",0.038767485734196
"WETLANDSNLCD06",0.0347538993101539
"MAINS100_FOREST",0.0251544639477839
"IMPNLCD06",0.0436471602179337
"AWCAVE",0.0368727111490494
"PERMAVE",0.0922262955398676
"WTDEPAVE",0.0229340475141797
"ROCKDEPAVE",0.00316064847888702
"ELEV_MEAN_M_BASIN",0.396483551033791
"SLOPE_PCT",0.068400351184808
"ASPECT_NORTHNESS",0.00263709749802338
"ASPECT_EASTNESS",0.00489156744935014
"Q_val",0
