"","MDA"
"DRAIN_SQKM",0
"PPTAVG_SITE",0.169705700560069
"RH_SITE",0.0779548002164708
"SNOW_PCT_PRECIP",3.57580422976196
"PRECIP_SEAS_IND",0.0562953722716861
"JAN_PPT7100_CM",0.034854236987479
"JAN_TMP7100_DEGC",9.11934611591528
"BFI_AVE",0.041541676704093
"STOR_NID_2009",0.00830722750709343
"FORESTNLCD06",0.0589051410746397
"PLANTNLCD06",0.0433177822842549
"WETLANDSNLCD06",0.142036991297753
"MAINS100_FOREST",0.027503197990903
"IMPNLCD06",0.0485183358110116
"AWCAVE",0.0612474775679444
"PERMAVE",0.0942369058377998
"WTDEPAVE",0.0339433164189155
"ROCKDEPAVE",0.00152337192687937
"ELEV_MEAN_M_BASIN",0.25239883510473
"SLOPE_PCT",0.0870074911916932
"ASPECT_NORTHNESS",0.00350165706952398
"ASPECT_EASTNESS",0.00178522383691967
"Q_val",0
