"","MDA"
"DRAIN_SQKM",0.185369339590915
"PPTAVG_SITE",0.106373306451099
"RH_SITE",0.0184618632872594
"SNOW_PCT_PRECIP",0.95449792049739
"PRECIP_SEAS_IND",0.168132175102444
"JUL_PPT7100_CM",0.15811896774822
"JUL_TMP7100_DEGC",5.24691316957827
"BFI_AVE",0.709748566715247
"STOR_NID_2009",0.0517480363660767
"FORESTNLCD06",0
"PLANTNLCD06",0.112998042669397
"WETLANDSNLCD06",0.0296198522447259
"MAINS100_FOREST",0.0742594752862816
"IMPNLCD06",0.00537479611119164
"AWCAVE",0.00670093109840559
"PERMAVE",4.29098318761687e-05
"WTDEPAVE",0.0869303691844799
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.182473405438141
"SLOPE_PCT",0.73346213512947
"ASPECT_NORTHNESS",0.0105128142860856
"ASPECT_EASTNESS",0.000566534523328621
"Q_val",0.0186716289503112
