"","MDA"
"DRAIN_SQKM",0.0430474135159468
"PPTAVG_SITE",0.0262426017281676
"RH_SITE",0.00437938440981404
"SNOW_PCT_PRECIP",1.49342218772796
"PRECIP_SEAS_IND",0.0241448515878432
"JUN_PPT7100_CM",0.0606955759236539
"JUN_TMP7100_DEGC",7.33302233630569
"BFI_AVE",0.343790628494013
"STOR_NID_2009",0.0460283458201838
"FORESTNLCD06",0.0433892546903371
"PLANTNLCD06",0.0909111751874207
"WETLANDSNLCD06",0.0806617186737821
"MAINS100_FOREST",0.0778015681786675
"IMPNLCD06",0.0104625588348233
"AWCAVE",0.0250575360420711
"PERMAVE",0
"WTDEPAVE",0.0532938082901731
"ROCKDEPAVE",0.00228686670440714
"ELEV_MEAN_M_BASIN",0.246551718922771
"SLOPE_PCT",1.63243347422177
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.0132821638866077
"Q_val",0.00568575541406896
