"","MDA"
"DRAIN_SQKM",0.00709321632993474
"PPTAVG_SITE",0.123760247345629
"RH_SITE",0.0386772081195596
"SNOW_PCT_PRECIP",3.86465735128106
"PRECIP_SEAS_IND",0.166132799009055
"MAR_PPT7100_CM",0.107353040419316
"MAR_TMP7100_DEGC",12.2564998357579
"BFI_AVE",0.045376310381827
"STOR_NID_2009",0
"FORESTNLCD06",0.0662368477570976
"PLANTNLCD06",0.323456263404161
"WETLANDSNLCD06",0.0997647889002181
"MAINS100_FOREST",0.0983503309220742
"IMPNLCD06",0.122036804155639
"AWCAVE",0.0337194728471988
"PERMAVE",0.0188891676953185
"WTDEPAVE",0.00768485927782223
"ROCKDEPAVE",0.00665907016536713
"ELEV_MEAN_M_BASIN",0.196711066692983
"SLOPE_PCT",0.42493542927114
"ASPECT_NORTHNESS",0.00138994435224312
"ASPECT_EASTNESS",0.000131796701288164
"Q_val",0.000551154770239337
