"","MDA"
"DRAIN_SQKM",0.0207673039062056
"PPTAVG_SITE",0.0501826526926693
"RH_SITE",0.0291983590229549
"SNOW_PCT_PRECIP",3.40281538448826
"PRECIP_SEAS_IND",1.20616322246954
"OCT_PPT7100_CM",0.0782321301335656
"OCT_TMP7100_DEGC",6.25489731375722
"BFI_AVE",0.859617840902082
"STOR_NID_2009",0.0200248596350344
"FORESTNLCD06",0.00853101315918007
"PLANTNLCD06",0.116515679290955
"WETLANDSNLCD06",0.00594261125229238
"MAINS100_FOREST",0.0359244678653099
"IMPNLCD06",0.0415478606539313
"AWCAVE",0.0333744467383583
"PERMAVE",0
"WTDEPAVE",0.162499795178483
"ROCKDEPAVE",0.00697915176642724
"ELEV_MEAN_M_BASIN",0.299593571410344
"SLOPE_PCT",0.358559816210156
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.0162558553594537
"Q_val",0.000978725510773947
