"","MDA"
"DRAIN_SQKM",0.145908739892493
"PPTAVG_SITE",0.130977638838972
"RH_SITE",0.0189366616156215
"SNOW_PCT_PRECIP",1.41623740446783
"PRECIP_SEAS_IND",0.405019267893353
"SEP_PPT7100_CM",0.0194705193880216
"SEP_TMP7100_DEGC",5.01427411739265
"BFI_AVE",0.569224756579858
"STOR_NID_2009",0.0313197064487706
"FORESTNLCD06",0.0061970136132784
"PLANTNLCD06",0.121685310831095
"WETLANDSNLCD06",0.0255897081721258
"MAINS100_FOREST",0.123890997432402
"IMPNLCD06",0.0104410646608479
"AWCAVE",0.00511846665171105
"PERMAVE",0
"WTDEPAVE",0.115315020667574
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.0921236587791561
"SLOPE_PCT",0.419047240100918
"ASPECT_NORTHNESS",0.00281223495780967
"ASPECT_EASTNESS",0.0168723716404362
"Q_val",0.00755675243538593
