"","MDA"
"DRAIN_SQKM",1.34092986019272e-05
"PPTAVG_SITE",3.0537829101268e-05
"RH_SITE",3.7085502527929e-05
"SNOW_PCT_PRECIP",0.000168847377590636
"PRECIP_SEAS_IND",0.000106627625604519
"APR_PPT7100_CM",0.00021563350570507
"APR_TMP7100_DEGC",6.25847863119329e-05
"BFI_AVE",0.000105946310026011
"STOR_NID_2009",0.00304290282895907
"FORESTNLCD06",0.000264473737304608
"PLANTNLCD06",0.000191885245921481
"WETLANDSNLCD06",2.79268277990464e-05
"MAINS100_FOREST",1.57877164765393e-05
"IMPNLCD06",0.00023082613167487
"AWCAVE",3.73355214694934e-05
"PERMAVE",2.94137112352928e-05
"WTDEPAVE",8.09198682947413e-05
"ROCKDEPAVE",2.46689824439473e-06
"ELEV_MEAN_M_BASIN",2.09243696289806e-05
"SLOPE_PCT",4.5446841499173e-06
"ASPECT_NORTHNESS",1.05446586377507e-05
"ASPECT_EASTNESS",5.92663692406931e-05
"Q_val",1.52342162712965e-06
