"","MDA"
"DRAIN_SQKM",1.26394386637303e-05
"PPTAVG_SITE",0.000134333951823575
"RH_SITE",0.000114051402838495
"SNOW_PCT_PRECIP",0.000140842044981184
"PRECIP_SEAS_IND",0.00020413420996295
"AUG_PPT7100_CM",0.000114651644369347
"AUG_TMP7100_DEGC",0.00021949440582421
"BFI_AVE",0.000190017898479267
"STOR_NID_2009",0.00724338167239968
"FORESTNLCD06",4.6027292945759e-06
"PLANTNLCD06",0.000134386520338622
"WETLANDSNLCD06",7.89704003131196e-05
"MAINS100_FOREST",1.76089692531841e-05
"IMPNLCD06",0.00143850594283176
"AWCAVE",0
"PERMAVE",0.000148361837006969
"WTDEPAVE",3.24673005812357e-05
"ROCKDEPAVE",4.88715514704078e-05
"ELEV_MEAN_M_BASIN",0.000125953955233368
"SLOPE_PCT",7.43138808089273e-05
"ASPECT_NORTHNESS",3.99979632851611e-05
"ASPECT_EASTNESS",0.000260764239575988
"Q_val",9.09712845831519e-05
