"","MDA"
"DRAIN_SQKM",2.76379843142503e-05
"PPTAVG_SITE",3.49270083178991e-05
"RH_SITE",5.03434472546308e-05
"SNOW_PCT_PRECIP",0.000539375633499962
"PRECIP_SEAS_IND",0.000112437914819031
"DEC_PPT7100_CM",3.37719330313775e-05
"DEC_TMP7100_DEGC",0.00306573355192854
"BFI_AVE",0.000182419039597662
"STOR_NID_2009",0.00128089604178822
"FORESTNLCD06",0.000234952077112514
"PLANTNLCD06",5.84506889802385e-05
"WETLANDSNLCD06",6.79967420871823e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000895625996294113
"AWCAVE",4.12015216025126e-06
"PERMAVE",7.77312600261088e-05
"WTDEPAVE",3.43132849013759e-05
"ROCKDEPAVE",3.46888906975693e-05
"ELEV_MEAN_M_BASIN",5.71376335630987e-05
"SLOPE_PCT",4.60982636196638e-06
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",4.70402977569531e-05
"Q_val",5.28961697397108e-05
