"","MDA"
"DRAIN_SQKM",3.77287269346902e-05
"PPTAVG_SITE",2.65736281726283e-05
"RH_SITE",9.12238991003988e-06
"SNOW_PCT_PRECIP",0.000690705789391863
"PRECIP_SEAS_IND",4.31390830023969e-05
"FEB_PPT7100_CM",4.34678126070764e-05
"FEB_TMP7100_DEGC",0.00250664732600594
"BFI_AVE",6.97701163989426e-05
"STOR_NID_2009",0.00195082209243716
"FORESTNLCD06",4.22924965782645e-05
"PLANTNLCD06",1.67037665423014e-05
"WETLANDSNLCD06",6.82600585219639e-05
"MAINS100_FOREST",6.32930015710605e-06
"IMPNLCD06",0.000638134157295773
"AWCAVE",2.03061462485268e-05
"PERMAVE",5.12233004018786e-05
"WTDEPAVE",2.31250012911117e-05
"ROCKDEPAVE",2.74752888957409e-05
"ELEV_MEAN_M_BASIN",2.00682560967764e-05
"SLOPE_PCT",1.25836091189157e-05
"ASPECT_NORTHNESS",3.51879881340487e-06
"ASPECT_EASTNESS",0.000102054821778923
"Q_val",2.32147220950198e-05
