"","MDA"
"DRAIN_SQKM",1.19580248700415e-05
"PPTAVG_SITE",4.32394123913272e-05
"RH_SITE",2.75623876817297e-05
"SNOW_PCT_PRECIP",0.000741504379477768
"PRECIP_SEAS_IND",7.28909130987859e-05
"JAN_PPT7100_CM",8.80841395928432e-05
"JAN_TMP7100_DEGC",0.00372550150308301
"BFI_AVE",8.32530545827783e-05
"STOR_NID_2009",0.0013576666689566
"FORESTNLCD06",0.000104731160136172
"PLANTNLCD06",3.12909715356284e-05
"WETLANDSNLCD06",9.23727366243747e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000782110016855419
"AWCAVE",1.6144895374028e-05
"PERMAVE",5.40779622755114e-05
"WTDEPAVE",4.48524017379078e-05
"ROCKDEPAVE",5.6337540602965e-05
"ELEV_MEAN_M_BASIN",4.08656749863219e-05
"SLOPE_PCT",1.35069928131103e-05
"ASPECT_NORTHNESS",1.10242193455785e-05
"ASPECT_EASTNESS",9.862944361074e-05
"Q_val",4.0851981955378e-06
