"","MDA"
"DRAIN_SQKM",3.76348632467407e-05
"PPTAVG_SITE",8.20983769296889e-05
"RH_SITE",3.45667910347137e-05
"SNOW_PCT_PRECIP",0.000345543054711503
"PRECIP_SEAS_IND",0.000530909440629422
"JUL_PPT7100_CM",2.86366203347623e-05
"JUL_TMP7100_DEGC",0.000429053612858159
"BFI_AVE",0.000252111199793446
"STOR_NID_2009",0.00820427012804602
"FORESTNLCD06",0
"PLANTNLCD06",8.68806370356842e-06
"WETLANDSNLCD06",5.20811057714574e-05
"MAINS100_FOREST",4.16309157400511e-05
"IMPNLCD06",0.000551708966633843
"AWCAVE",0
"PERMAVE",0.000660204926537073
"WTDEPAVE",0
"ROCKDEPAVE",0.00017204726471028
"ELEV_MEAN_M_BASIN",0.000334197658377371
"SLOPE_PCT",9.81390739076287e-05
"ASPECT_NORTHNESS",8.13868688577401e-06
"ASPECT_EASTNESS",0.000165261496369438
"Q_val",1.62915229359204e-05
