"","MDA"
"DRAIN_SQKM",2.04046398012038e-05
"PPTAVG_SITE",6.22604201266266e-05
"RH_SITE",8.91392161124031e-05
"SNOW_PCT_PRECIP",0.00025285066834955
"PRECIP_SEAS_IND",4.45435670201351e-05
"JUN_PPT7100_CM",6.95850939355847e-05
"JUN_TMP7100_DEGC",0.000344866835882734
"BFI_AVE",0.000296116447166808
"STOR_NID_2009",0.00731185502284599
"FORESTNLCD06",0
"PLANTNLCD06",5.38631703135123e-05
"WETLANDSNLCD06",8.93065475726686e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000901781528655223
"AWCAVE",0
"PERMAVE",0.000115355192185068
"WTDEPAVE",2.91902679501025e-05
"ROCKDEPAVE",6.08354330670434e-06
"ELEV_MEAN_M_BASIN",4.53466517230578e-05
"SLOPE_PCT",2.98811314520236e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.000110965121236539
"Q_val",6.24372750766126e-05
