"","MDA"
"DRAIN_SQKM",3.83190239550533e-05
"PPTAVG_SITE",5.08041273688956e-05
"RH_SITE",5.1816070133641e-05
"SNOW_PCT_PRECIP",0.000323931379624305
"PRECIP_SEAS_IND",0.000168000821904229
"MAR_PPT7100_CM",2.43900394146179e-05
"MAR_TMP7100_DEGC",0.00236656318898799
"BFI_AVE",3.06752594564209e-05
"STOR_NID_2009",0.00328667181114389
"FORESTNLCD06",0.00019779855825
"PLANTNLCD06",3.07319542256594e-05
"WETLANDSNLCD06",0.00019676432538112
"MAINS100_FOREST",2.44029586518249e-05
"IMPNLCD06",0.000866957297909387
"AWCAVE",2.03828832112055e-05
"PERMAVE",3.45935751931488e-05
"WTDEPAVE",2.43581750045005e-05
"ROCKDEPAVE",7.71625655988728e-07
"ELEV_MEAN_M_BASIN",5.02077755794778e-05
"SLOPE_PCT",1.8290937239443e-05
"ASPECT_NORTHNESS",6.96553771033131e-05
"ASPECT_EASTNESS",0.000246309555568412
"Q_val",0.000146563244665253
