"","MDA"
"DRAIN_SQKM",2.98537549177854e-05
"PPTAVG_SITE",1.68677271729241e-07
"RH_SITE",7.48742585473945e-05
"SNOW_PCT_PRECIP",0.000337378672052564
"PRECIP_SEAS_IND",8.92831541879751e-05
"MAY_PPT7100_CM",2.33863760676356e-05
"MAY_TMP7100_DEGC",0.000571898414975785
"BFI_AVE",0.000424410546449783
"STOR_NID_2009",0.00526303200351348
"FORESTNLCD06",1.84437212698848e-05
"PLANTNLCD06",0.000127479751064136
"WETLANDSNLCD06",0.000242301311275847
"MAINS100_FOREST",1.42979155120285e-05
"IMPNLCD06",0.000256824877178572
"AWCAVE",9.46649646304274e-05
"PERMAVE",1.04159517917945e-06
"WTDEPAVE",0.000224782483031986
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.000161599890434976
"SLOPE_PCT",0.00013159900303065
"ASPECT_NORTHNESS",5.08131612195142e-05
"ASPECT_EASTNESS",3.51053476560731e-06
"Q_val",0
