"","MDA"
"DRAIN_SQKM",8.28211982488263e-06
"PPTAVG_SITE",0.000156599166424084
"RH_SITE",0.000161711829041188
"SNOW_PCT_PRECIP",0.000574316870247281
"PRECIP_SEAS_IND",0.000437721005832684
"NOV_PPT7100_CM",2.63691739151584e-05
"NOV_TMP7100_DEGC",0.00129078299421558
"BFI_AVE",0.000513434434157193
"STOR_NID_2009",0.00248021668765735
"FORESTNLCD06",2.5589987969049e-05
"PLANTNLCD06",4.53470142474161e-05
"WETLANDSNLCD06",2.02290895587873e-05
"MAINS100_FOREST",2.90863494737593e-06
"IMPNLCD06",0.000494335251944727
"AWCAVE",0
"PERMAVE",0.000329826246964762
"WTDEPAVE",7.26725741541067e-05
"ROCKDEPAVE",1.48970984107141e-05
"ELEV_MEAN_M_BASIN",5.55122463580785e-05
"SLOPE_PCT",2.28297098286455e-05
"ASPECT_NORTHNESS",4.43435327457584e-05
"ASPECT_EASTNESS",0.000257248973407559
"Q_val",4.27392939216397e-05
