"","MDA"
"DRAIN_SQKM",1.78050007834174e-05
"PPTAVG_SITE",7.33396078275772e-05
"RH_SITE",3.32204035221721e-05
"SNOW_PCT_PRECIP",0.0010275607394356
"PRECIP_SEAS_IND",0.000600028172745401
"OCT_PPT7100_CM",1.592497546014e-06
"OCT_TMP7100_DEGC",8.1108164780338e-05
"BFI_AVE",0.000656357140522617
"STOR_NID_2009",0.00370856271814344
"FORESTNLCD06",3.04758439354088e-05
"PLANTNLCD06",0.000113914004632014
"WETLANDSNLCD06",0.00014438646340651
"MAINS100_FOREST",0
"IMPNLCD06",0.000205792872611663
"AWCAVE",3.42861200814139e-05
"PERMAVE",0
"WTDEPAVE",0.000365642504060496
"ROCKDEPAVE",5.43537971161057e-05
"ELEV_MEAN_M_BASIN",0.000174624018739087
"SLOPE_PCT",0.000349590432754709
"ASPECT_NORTHNESS",6.27216104108685e-05
"ASPECT_EASTNESS",0.000214147160579831
"Q_val",9.36370878248213e-05
