"","MDA"
"DRAIN_SQKM",2.92954759461188e-05
"PPTAVG_SITE",0.000212843082696955
"RH_SITE",0.00019075313666776
"SNOW_PCT_PRECIP",0.00032167280975476
"PRECIP_SEAS_IND",0.000175477644668431
"SEP_PPT7100_CM",6.32269517552681e-05
"SEP_TMP7100_DEGC",0.000108711548551743
"BFI_AVE",0.000345203243006461
"STOR_NID_2009",0.0102145894030545
"FORESTNLCD06",0.000304819055872379
"PLANTNLCD06",0.000219767642288384
"WETLANDSNLCD06",0.000166935057542739
"MAINS100_FOREST",7.81180392589373e-05
"IMPNLCD06",0.000410727786687002
"AWCAVE",0
"PERMAVE",0.000405177054300256
"WTDEPAVE",0
"ROCKDEPAVE",0.000160746619038222
"ELEV_MEAN_M_BASIN",7.7259654273085e-05
"SLOPE_PCT",2.30009141093004e-05
"ASPECT_NORTHNESS",0.000155646893147813
"ASPECT_EASTNESS",0.000476083069449883
"Q_val",0.000141978726379264
