"","MDA"
"DRAIN_SQKM",2.51249382434734e-05
"PPTAVG_SITE",0.000277163749828768
"RH_SITE",9.30460945131566e-06
"SNOW_PCT_PRECIP",0.000407741119104966
"PRECIP_SEAS_IND",0.000561255252868398
"APR_PPT7100_CM",0.00023305341131022
"APR_TMP7100_DEGC",0.000394484148005057
"BFI_AVE",0.00017065710326877
"STOR_NID_2009",4.65282182373594e-05
"FORESTNLCD06",7.79637492672597e-05
"PLANTNLCD06",0.00015438358513005
"WETLANDSNLCD06",4.04513717321274e-05
"MAINS100_FOREST",6.17248401432873e-05
"IMPNLCD06",6.95680551668455e-05
"AWCAVE",0.000544871705086316
"PERMAVE",4.20306693862323e-06
"WTDEPAVE",0.000237786895119071
"ROCKDEPAVE",3.30680212412562e-05
"ELEV_MEAN_M_BASIN",0.000407728604931111
"SLOPE_PCT",0.00237412663327794
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",1.43735125107885e-05
