"","MDA"
"DRAIN_SQKM",0.000143515335158043
"PPTAVG_SITE",0.000274900522936525
"RH_SITE",5.70425654514986e-06
"SNOW_PCT_PRECIP",0.000158754955371982
"PRECIP_SEAS_IND",0.00045622009705936
"AUG_PPT7100_CM",0.000290140567268764
"AUG_TMP7100_DEGC",0.000180241852879558
"BFI_AVE",0.000853970157212549
"STOR_NID_2009",2.47383378687449e-05
"FORESTNLCD06",0
"PLANTNLCD06",7.81987444713094e-05
"WETLANDSNLCD06",1.2362332061181e-05
"MAINS100_FOREST",0
"IMPNLCD06",0
"AWCAVE",1.05687713271329e-05
"PERMAVE",2.72701010925763e-05
"WTDEPAVE",0.000207888730327137
"ROCKDEPAVE",0
"ELEV_MEAN_M_BASIN",0.000349247777386968
"SLOPE_PCT",0.00130747957688812
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",1.23771429568444e-05
"Q_val",0.00024669703683108
