"","MDA"
"DRAIN_SQKM",0.000265916631473628
"PPTAVG_SITE",5.50205082776427e-05
"RH_SITE",5.03635441309921e-05
"SNOW_PCT_PRECIP",0.00253653201284084
"PRECIP_SEAS_IND",6.01281433524899e-05
"DEC_PPT7100_CM",1.65629746348949e-05
"DEC_TMP7100_DEGC",0.00423119837610124
"BFI_AVE",0.000358133280991118
"STOR_NID_2009",0
"FORESTNLCD06",0.000112525199797298
"PLANTNLCD06",9.49373135380321e-06
"WETLANDSNLCD06",8.75849192524443e-05
"MAINS100_FOREST",1.08420159321546e-05
"IMPNLCD06",0.000621395104045266
"AWCAVE",5.4401762220251e-05
"PERMAVE",0.000105927067517456
"WTDEPAVE",5.33721139233408e-05
"ROCKDEPAVE",6.25080437461052e-05
"ELEV_MEAN_M_BASIN",0.000334895157841596
"SLOPE_PCT",3.73571546631243e-05
"ASPECT_NORTHNESS",4.51448658308705e-06
"ASPECT_EASTNESS",2.33949413392244e-05
"Q_val",0.000240937782068807
