"","MDA"
"DRAIN_SQKM",1.17232748332784e-05
"PPTAVG_SITE",2.19872582998649e-05
"RH_SITE",1.46061642763857e-05
"SNOW_PCT_PRECIP",0.00174377214465207
"PRECIP_SEAS_IND",4.87497139743546e-05
"FEB_PPT7100_CM",4.26850374798339e-05
"FEB_TMP7100_DEGC",0.00597748277070867
"BFI_AVE",0.00018524749494876
"STOR_NID_2009",6.98975860543179e-06
"FORESTNLCD06",0.000146025124443971
"PLANTNLCD06",3.52465052915616e-05
"WETLANDSNLCD06",4.61551913688966e-05
"MAINS100_FOREST",5.6353797992568e-06
"IMPNLCD06",0.000404523602492792
"AWCAVE",2.20835176523322e-05
"PERMAVE",3.41877017659226e-06
"WTDEPAVE",3.39141745556452e-05
"ROCKDEPAVE",9.25621938143322e-05
"ELEV_MEAN_M_BASIN",0.000142514471124868
"SLOPE_PCT",8.5625595884236e-05
"ASPECT_NORTHNESS",5.22463062784047e-06
"ASPECT_EASTNESS",2.03688595268216e-05
"Q_val",0.000156139542189312
