"","MDA"
"DRAIN_SQKM",4.31538162787366e-05
"PPTAVG_SITE",3.99227947965239e-05
"RH_SITE",5.50558923241229e-06
"SNOW_PCT_PRECIP",0.00253043786495031
"PRECIP_SEAS_IND",0.000267183154380945
"JAN_PPT7100_CM",8.9509094808701e-05
"JAN_TMP7100_DEGC",0.00675223466895025
"BFI_AVE",2.20855523971258e-05
"STOR_NID_2009",2.24121377362785e-06
"FORESTNLCD06",0.000189930259697903
"PLANTNLCD06",2.83759323513108e-05
"WETLANDSNLCD06",0.000101123470361053
"MAINS100_FOREST",0
"IMPNLCD06",0.000684372440153554
"AWCAVE",3.35952677937016e-05
"PERMAVE",3.47207371808517e-05
"WTDEPAVE",1.42413675071467e-05
"ROCKDEPAVE",0.00010521202992737
"ELEV_MEAN_M_BASIN",0.000140316163725448
"SLOPE_PCT",5.90761299294878e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0.000106233216481944
"Q_val",0.000136998393234338
