"","MDA"
"DRAIN_SQKM",6.50371451890124e-05
"PPTAVG_SITE",9.69004700549328e-05
"RH_SITE",0
"SNOW_PCT_PRECIP",0.000219831717341605
"PRECIP_SEAS_IND",0
"JUL_PPT7100_CM",3.49718225832201e-07
"JUL_TMP7100_DEGC",2.39627819881344e-05
"BFI_AVE",0.000889922101488058
"STOR_NID_2009",5.822489487789e-05
"FORESTNLCD06",0
"PLANTNLCD06",1.64156188339532e-05
"WETLANDSNLCD06",0
"MAINS100_FOREST",0
"IMPNLCD06",9.08127490442285e-05
"AWCAVE",0
"PERMAVE",0
"WTDEPAVE",5.14194936249304e-05
"ROCKDEPAVE",0.000247035081961306
"ELEV_MEAN_M_BASIN",3.99376969441473e-05
"SLOPE_PCT",4.73648654937344e-05
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",0
"Q_val",0
