"","MDA"
"DRAIN_SQKM",5.74634795922615e-05
"PPTAVG_SITE",0.000404097522980908
"RH_SITE",0
"SNOW_PCT_PRECIP",0.000693475222285472
"PRECIP_SEAS_IND",7.66373141619097e-05
"JUN_PPT7100_CM",3.01967464463879e-05
"JUN_TMP7100_DEGC",0.000190882390039982
"BFI_AVE",0.000744846259145274
"STOR_NID_2009",8.24794357966623e-05
"FORESTNLCD06",0
"PLANTNLCD06",2.38910199145861e-05
"WETLANDSNLCD06",3.29245157770471e-06
"MAINS100_FOREST",0
"IMPNLCD06",5.06230867719883e-06
"AWCAVE",0.000241656564515696
"PERMAVE",3.17212709268441e-05
"WTDEPAVE",0.00010447104795987
"ROCKDEPAVE",1.67511100781657e-06
"ELEV_MEAN_M_BASIN",0.00050299213358296
"SLOPE_PCT",0.000331527564709283
"ASPECT_NORTHNESS",1.91203690672055e-07
"ASPECT_EASTNESS",2.31313777622503e-05
"Q_val",1.1055692059977e-05
