"","MDA"
"DRAIN_SQKM",9.71569654460814e-05
"PPTAVG_SITE",0.000166156362977684
"RH_SITE",6.06566803750975e-06
"SNOW_PCT_PRECIP",0.00126015627839378
"PRECIP_SEAS_IND",0.000356369101139227
"MAR_PPT7100_CM",0.000111688681125083
"MAR_TMP7100_DEGC",0.00318124200549083
"BFI_AVE",0.000114591836500869
"STOR_NID_2009",2.09296559847455e-05
"FORESTNLCD06",5.10779155725476e-05
"PLANTNLCD06",0.000227116851188414
"WETLANDSNLCD06",3.69540874949063e-05
"MAINS100_FOREST",6.49797305336934e-06
"IMPNLCD06",0.000194992478011171
"AWCAVE",1.15656011003896e-05
"PERMAVE",6.83665217253659e-06
"WTDEPAVE",3.72590771523147e-05
"ROCKDEPAVE",2.8441933612833e-05
"ELEV_MEAN_M_BASIN",6.05881649029924e-05
"SLOPE_PCT",0.000330791517917828
"ASPECT_NORTHNESS",9.44673038828566e-06
"ASPECT_EASTNESS",5.64864853677801e-06
"Q_val",0.000227686684640986
