"","MDA"
"DRAIN_SQKM",9.54531950310223e-05
"PPTAVG_SITE",7.79037362289665e-05
"RH_SITE",4.75921254918102e-06
"SNOW_PCT_PRECIP",0.00187371698597145
"PRECIP_SEAS_IND",0.000151687037355511
"MAY_PPT7100_CM",0.000149973510932502
"MAY_TMP7100_DEGC",0.00174933074685409
"BFI_AVE",0.000321030642131644
"STOR_NID_2009",3.75361858738926e-05
"FORESTNLCD06",1.47889248382471e-05
"PLANTNLCD06",4.9061380123161e-05
"WETLANDSNLCD06",3.71775677933619e-05
"MAINS100_FOREST",1.42466039712105e-05
"IMPNLCD06",2.91419894579853e-05
"AWCAVE",0.00036520800214159
"PERMAVE",0.000168393038511564
"WTDEPAVE",9.63391036188184e-06
"ROCKDEPAVE",0.000260944803012631
"ELEV_MEAN_M_BASIN",0.000447525013756603
"SLOPE_PCT",0.00198603229779702
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",4.08013716429352e-05
"Q_val",2.26676088332392e-05
