"","MDA"
"DRAIN_SQKM",0.000137001696376106
"PPTAVG_SITE",0.000165996883840777
"RH_SITE",7.22409981720013e-06
"SNOW_PCT_PRECIP",0.000478751281431759
"PRECIP_SEAS_IND",0.000362790860649532
"NOV_PPT7100_CM",3.57204735920824e-05
"NOV_TMP7100_DEGC",0.00134773118968437
"BFI_AVE",0.000565914693333213
"STOR_NID_2009",8.42835118569281e-06
"FORESTNLCD06",0.00013649743393496
"PLANTNLCD06",2.45561837903474e-05
"WETLANDSNLCD06",4.81421020376663e-05
"MAINS100_FOREST",0
"IMPNLCD06",0.000326472232613549
"AWCAVE",0.000183397871062647
"PERMAVE",4.42990578436872e-05
"WTDEPAVE",4.11095754340403e-05
"ROCKDEPAVE",0.000128266929140742
"ELEV_MEAN_M_BASIN",0.000613649650553786
"SLOPE_PCT",0.000171506502920096
"ASPECT_NORTHNESS",0
"ASPECT_EASTNESS",4.10565221779987e-05
"Q_val",0.000169020678639278
